seed,difficulty_gap,budget_frac,method,mean_irr,std_irr,b_rho,selected_w
0,1.0,0.1,uniform,0.03954470782679692,0.033844151333434776,0.4671988146504661,-1.0
0,1.0,0.1,recency,0.0347470920399893,0.03135180707910184,0.4671988146504661,-1.0
0,1.0,0.1,topk,0.03837687287390045,0.03384643505493577,0.4671988146504661,-1.0
0,1.0,0.1,fisher,0.04038118123013701,0.03912314423975149,0.4671988146504661,-1.0
0,1.0,0.1,adirt,0.031668174462515346,0.030676821277245612,0.4671988146504661,-1.0
0,1.0,0.2,uniform,0.06043231826581722,0.04304073534267759,0.4671988146504661,-1.0
0,1.0,0.2,recency,0.0495011667042867,0.0344858542546403,0.4671988146504661,-1.0
0,1.0,0.2,topk,0.05328971584725436,0.03920661553495455,0.4671988146504661,-1.0
0,1.0,0.2,fisher,0.06850415386880584,0.043204076563051516,0.4671988146504661,-1.0
0,1.0,0.2,adirt,0.06496231422972357,0.03869547911954175,0.4671988146504661,-1.0
0,1.0,0.3,uniform,0.0775730901996301,0.04884948376629529,0.4671988146504661,-1.0
0,1.0,0.3,recency,0.0702726300025782,0.04319320411185225,0.4671988146504661,-1.0
0,1.0,0.3,topk,0.06740221022109374,0.04090187928095419,0.4671988146504661,-1.0
0,1.0,0.3,fisher,0.08347999284383813,0.04853674723130113,0.4671988146504661,-1.0
0,1.0,0.3,adirt,0.08264305642226397,0.04612913066159432,0.4671988146504661,-1.0
0,1.0,0.5,uniform,0.11229816916524296,0.05878513275887555,0.4671988146504661,-1.0
0,1.0,0.5,recency,0.11182545882868693,0.05710247114062702,0.4671988146504661,-1.0
0,1.0,0.5,topk,0.09219774294208809,0.04897840098468987,0.4671988146504661,-1.0
0,1.0,0.5,fisher,0.11090774736548337,0.05690570916158345,0.4671988146504661,-1.0
0,1.0,0.5,adirt,0.11178291459304432,0.05718231687628208,0.4671988146504661,-1.0
0,1.0,0.7,uniform,0.13371159764843676,0.06130853974872902,0.4671988146504661,-1.0
0,1.0,0.7,recency,0.12724549972707896,0.05798355712549742,0.4671988146504661,-1.0
0,1.0,0.7,topk,0.121507149333526,0.054672695789999094,0.4671988146504661,-1.0
0,1.0,0.7,fisher,0.12373298451860978,0.057542316469844944,0.4671988146504661,-1.0
0,1.0,0.7,adirt,0.12724502633159315,0.061006729285308633,0.4671988146504661,-1.0
0,2.0,0.1,uniform,0.07378585495653436,0.03832994937740293,0.7045424459307549,-3.0
0,2.0,0.1,recency,0.05752093753203722,0.031197759332123754,0.7045424459307549,-3.0
0,2.0,0.1,topk,0.03206057634286168,0.018534533004534722,0.7045424459307549,-3.0
0,2.0,0.1,fisher,0.0604165097796928,0.03498119419762541,0.7045424459307549,-3.0
0,2.0,0.1,adirt,0.06170143475449676,0.03342411608332697,0.7045424459307549,-3.0
0,2.0,0.2,uniform,0.10370629574191599,0.043559619786084594,0.7045424459307549,-3.0
0,2.0,0.2,recency,0.10916737314190943,0.05853613640580874,0.7045424459307549,-3.0
0,2.0,0.2,topk,0.05579739485017417,0.027422888478643288,0.7045424459307549,-3.0
0,2.0,0.2,fisher,0.1102741853902203,0.052400285021802204,0.7045424459307549,-3.0
0,2.0,0.2,adirt,0.12659127771240886,0.05930000051989631,0.7045424459307549,-3.0
0,2.0,0.3,uniform,0.12941315239961554,0.04928710746835275,0.7045424459307549,-3.0
0,2.0,0.3,recency,0.13577393119092251,0.06287243250513651,0.7045424459307549,-3.0
0,2.0,0.3,topk,0.08225192399582379,0.038641652142275024,0.7045424459307549,-3.0
0,2.0,0.3,fisher,0.12941805366093423,0.05585682331178824,0.7045424459307549,-3.0
0,2.0,0.3,adirt,0.1388226726120571,0.057786752226703,0.7045424459307549,-3.0
0,2.0,0.5,uniform,0.17238835271381517,0.05704109245530793,0.7045424459307549,-3.0
0,2.0,0.5,recency,0.1689507815836256,0.06455285180970442,0.7045424459307549,-3.0
0,2.0,0.5,topk,0.12700434400144972,0.04932454550999175,0.7045424459307549,-3.0
0,2.0,0.5,fisher,0.1555232441237377,0.06009100244238871,0.7045424459307549,-3.0
0,2.0,0.5,adirt,0.1615067261390835,0.05523334412798487,0.7045424459307549,-3.0
0,2.0,0.7,uniform,0.19028742032292342,0.057618952607014634,0.7045424459307549,-3.0
0,2.0,0.7,recency,0.18345158711355747,0.06603040853268505,0.7045424459307549,-3.0
0,2.0,0.7,topk,0.1666874156669948,0.05685762659515168,0.7045424459307549,-3.0
0,2.0,0.7,fisher,0.17724896412988775,0.058260026864296766,0.7045424459307549,-3.0
0,2.0,0.7,adirt,0.1801906542235598,0.05538438943617047,0.7045424459307549,-3.0
0,3.0,0.1,uniform,0.12352932511294597,0.07342612396076001,0.7807923428487102,-0.5
0,3.0,0.1,recency,0.11239228333094682,0.0627438561450797,0.7807923428487102,-0.5
0,3.0,0.1,topk,0.038146489542893985,0.022065415487870863,0.7807923428487102,-0.5
0,3.0,0.1,fisher,0.09135746798674482,0.06785894421321337,0.7807923428487102,-0.5
0,3.0,0.1,adirt,0.0847473306655977,0.05178252954667604,0.7807923428487102,-0.5
0,3.0,0.2,uniform,0.17600186303242588,0.08355643358527355,0.7807923428487102,-0.5
0,3.0,0.2,recency,0.18956330001192095,0.09188818314704149,0.7807923428487102,-0.5
0,3.0,0.2,topk,0.06306555874427483,0.028247924045539354,0.7807923428487102,-0.5
0,3.0,0.2,fisher,0.1829038075981898,0.09859240206379359,0.7807923428487102,-0.5
0,3.0,0.2,adirt,0.17543304584104444,0.07359365142738007,0.7807923428487102,-0.5
0,3.0,0.3,uniform,0.1952491392858002,0.09448562897441867,0.7807923428487102,-0.5
0,3.0,0.3,recency,0.20838186752122484,0.10298352552111566,0.7807923428487102,-0.5
0,3.0,0.3,topk,0.10140610343606844,0.04628957961469989,0.7807923428487102,-0.5
0,3.0,0.3,fisher,0.1990839174459194,0.10464956984687658,0.7807923428487102,-0.5
0,3.0,0.3,adirt,0.195507403994213,0.08516645984176448,0.7807923428487102,-0.5
0,3.0,0.5,uniform,0.21946026707105717,0.09769652407445782,0.7807923428487102,-0.5
0,3.0,0.5,recency,0.233630487508331,0.10849604530213877,0.7807923428487102,-0.5
0,3.0,0.5,topk,0.15253757820027547,0.07017029581347506,0.7807923428487102,-0.5
0,3.0,0.5,fisher,0.21892327877612566,0.10395439311315151,0.7807923428487102,-0.5
0,3.0,0.5,adirt,0.22316290553095935,0.09759692141018038,0.7807923428487102,-0.5
0,3.0,0.7,uniform,0.24040164393149452,0.10332831177894922,0.7807923428487102,-0.5
0,3.0,0.7,recency,0.24285779398774615,0.10736066290953032,0.7807923428487102,-0.5
0,3.0,0.7,topk,0.20184928684256254,0.08971204230152839,0.7807923428487102,-0.5
0,3.0,0.7,fisher,0.2321706814592049,0.10304512613820345,0.7807923428487102,-0.5
0,3.0,0.7,adirt,0.23999466986600998,0.10283155202156191,0.7807923428487102,-0.5
0,4.0,0.1,uniform,0.11275369327214133,0.05690784425795803,0.8593711344233265,-3.0
0,4.0,0.1,recency,0.09718228878672297,0.04205276849007107,0.8593711344233265,-3.0
0,4.0,0.1,topk,0.03504404221495667,0.02001429134482425,0.8593711344233265,-3.0
0,4.0,0.1,fisher,0.08608186522889583,0.04274847450022793,0.8593711344233265,-3.0
0,4.0,0.1,adirt,0.08939875742945588,0.041893001335143766,0.8593711344233265,-3.0
0,4.0,0.2,uniform,0.1684738404708191,0.0710771289313747,0.8593711344233265,-3.0
0,4.0,0.2,recency,0.17545204031369793,0.07295852082732851,0.8593711344233265,-3.0
0,4.0,0.2,topk,0.05559172872223567,0.024563280432861254,0.8593711344233265,-3.0
0,4.0,0.2,fisher,0.16394160347022707,0.06422753081369051,0.8593711344233265,-3.0
0,4.0,0.2,adirt,0.17300451831603053,0.07336105918082446,0.8593711344233265,-3.0
0,4.0,0.3,uniform,0.18622699173207796,0.07809451864806066,0.8593711344233265,-3.0
0,4.0,0.3,recency,0.1879034408706029,0.07412750608586814,0.8593711344233265,-3.0
0,4.0,0.3,topk,0.08423086685537175,0.029561703664874716,0.8593711344233265,-3.0
0,4.0,0.3,fisher,0.17668671654724516,0.06588761408963446,0.8593711344233265,-3.0
0,4.0,0.3,adirt,0.18628846369649307,0.07481302320816324,0.8593711344233265,-3.0
0,4.0,0.5,uniform,0.20714412371097618,0.07743372828761774,0.8593711344233265,-3.0
0,4.0,0.5,recency,0.20508559415599253,0.07666050612206693,0.8593711344233265,-3.0
0,4.0,0.5,topk,0.12664360970433952,0.043064775987238076,0.8593711344233265,-3.0
0,4.0,0.5,fisher,0.19569456048134928,0.0697586297150967,0.8593711344233265,-3.0
0,4.0,0.5,adirt,0.2029461441319123,0.07764440463815747,0.8593711344233265,-3.0
0,4.0,0.7,uniform,0.2210355699028625,0.07933111101827478,0.8593711344233265,-3.0
0,4.0,0.7,recency,0.21880160822515932,0.07457556742218727,0.8593711344233265,-3.0
0,4.0,0.7,topk,0.17917176264227946,0.06556297289599829,0.8593711344233265,-3.0
